Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Above Grade Finished Area 1,Above Grade Finished Area 2,Close Price Difference,Above Grade Finished Area Difference,Price to Value Ratio
9623639,6047783,556500.0,490000.0,1834.0,1698.0,66500.0,136.0,488.97058823529414
9623639,9695808,556500.0,470000.0,1834.0,1779.0,86500.0,55.0,1572.7272727272727
9623639,6273108,556500.0,450000.0,1834.0,1779.0,106500.0,55.0,1936.3636363636363
7239634,6504391,492000.0,471000.0,850.0,1125.0,21000.0,275.0,76.36363636363636
7239634,IR967360,492000.0,460000.0,850.0,1125.0,32000.0,275.0,116.36363636363636
2057640,6504391,475000.0,471000.0,850.0,1125.0,4000.0,275.0,14.545454545454545
6504391,4737519,471000.0,515000.0,1125.0,850.0,44000.0,275.0,160.0
6504391,2956955,471000.0,498000.0,1125.0,850.0,27000.0,275.0,98.18181818181819
6504391,6894963,471000.0,425000.0,1125.0,888.0,46000.0,237.0,194.0928270042194
6504391,3399550,471000.0,485000.0,1125.0,850.0,14000.0,275.0,50.90909090909091
6504391,9271341,471000.0,450000.0,1125.0,850.0,21000.0,275.0,76.36363636363636
5477177,7544812,530000.0,450000.0,850.0,984.0,80000.0,134.0,597.0149253731344
7797453,7739537,546000.0,545000.0,1185.0,1265.0,1000.0,80.0,12.5
7797453,7817574,546000.0,515000.0,1185.0,1264.0,31000.0,79.0,392.40506329113924
7797453,IR972932,546000.0,520000.0,1185.0,1325.0,26000.0,140.0,185.71428571428572
7544212,8014499,560000.0,505000.0,1621.0,1000.0,55000.0,621.0,88.56682769726248
7544212,7672518,560000.0,512000.0,1621.0,1000.0,48000.0,621.0,77.29468599033817
7544212,9932302,560000.0,500000.0,1621.0,1000.0,60000.0,621.0,96.61835748792271
3803356,6047783,535000.0,490000.0,1834.0,1698.0,45000.0,136.0,330.88235294117646
3803356,9695808,535000.0,470000.0,1834.0,1779.0,65000.0,55.0,1181.8181818181818
3803356,6273108,535000.0,450000.0,1834.0,1779.0,85000.0,55.0,1545.4545454545455
