Below Grade Finished Area
Listing Id 1,Below Grade Finished Area 1,Close Price 1,Listing Id 2,Below Grade Finished Area 2,Close Price 2
4687548,0.0,450000.0,8308659,853.0,460000.0
4687548,0.0,450000.0,8966609,1004.0,400000.0
4687548,0.0,450000.0,3929459,1000.0,505000.0
4687548,0.0,450000.0,2269467,760.0,475000.0
4687548,0.0,450000.0,1957981,645.0,450900.0
4687548,0.0,450000.0,1857476,760.0,450000.0
4687548,0.0,450000.0,8239606,846.0,465000.0
4687548,0.0,450000.0,IR956142,791.0,420000.0
4687548,0.0,450000.0,1514568,791.0,420000.0
4687548,0.0,450000.0,6604492,760.0,508000.0
4687548,0.0,450000.0,7621259,1083.0,495000.0
4687548,0.0,450000.0,5568598,994.0,425000.0
4687548,0.0,450000.0,IR957498,975.0,475000.0
4687548,0.0,450000.0,7592535,1004.0,497000.0
4687548,0.0,450000.0,7372725,915.0,430600.0
4687548,0.0,450000.0,2858719,950.0,565000.0
4687548,0.0,450000.0,9032924,836.0,532000.0
4687548,0.0,450000.0,7785361,725.0,551000.0
4687548,0.0,450000.0,IR958476,916.0,531000.0
4687548,0.0,450000.0,3106109,916.0,531000.0
4687548,0.0,450000.0,6504391,800.0,471000.0
4687548,0.0,450000.0,7029472,844.0,520000.0
4687548,0.0,450000.0,7797453,475.0,546000.0
4687548,0.0,450000.0,2937443,1075.0,521000.0
4687548,0.0,450000.0,IR960086,558.0,476000.0
4687548,0.0,450000.0,4428336,803.0,476000.0
4687548,0.0,450000.0,2077952,900.0,505000.0
4687548,0.0,450000.0,2620614,500.0,431500.0
4687548,0.0,450000.0,9152759,860.0,490000.0
4687548,0.0,450000.0,4820257,791.0,460000.0
4687548,0.0,450000.0,3865941,760.0,485000.0
4687548,0.0,450000.0,6135593,901.0,535000.0
4687548,0.0,450000.0,6339702,796.0,461000.0
4687548,0.0,450000.0,4252235,400.0,500000.0
4687548,0.0,450000.0,2941353,765.0,545000.0
4687548,0.0,450000.0,2480503,750.0,520000.0
4687548,0.0,450000.0,7875085,915.0,499900.0
4687548,0.0,450000.0,7281594,753.0,485000.0
4687548,0.0,450000.0,6655947,862.0,510000.0
4687548,0.0,450000.0,9007173,1004.0,505000.0
4687548,0.0,450000.0,IR962699,871.0,510000.0
4687548,0.0,450000.0,6894963,799.0,425000.0
4687548,0.0,450000.0,8014499,760.0,505000.0
4687548,0.0,450000.0,8366332,850.0,556000.0
4687548,0.0,450000.0,4702769,848.0,433000.0
4687548,0.0,450000.0,1818513,864.0,503100.0
4687548,0.0,450000.0,3267572,528.0,500000.0
4687548,0.0,450000.0,2456427,750.0,521000.0
4687548,0.0,450000.0,7672518,760.0,512000.0
4687548,0.0,450000.0,IR959771,1004.0,463500.0
4687548,0.0,450000.0,3287735,850.0,505000.0
4687548,0.0,450000.0,4702539,825.0,510000.0
4687548,0.0,450000.0,3514617,750.0,495000.0
4687548,0.0,450000.0,2636365,950.0,511000.0
4687548,0.0,450000.0,7132005,438.0,445000.0
4687548,0.0,450000.0,4924481,1000.0,493000.0
4687548,0.0,450000.0,3147619,882.0,500000.0
4687548,0.0,450000.0,1827159,347.0,535000.0
4687548,0.0,450000.0,7562700,950.0,545000.0
