Pair Number,Listing Id 1,Below Grade Unfinished Area 1,Close Price 1,Listing Id 2,Below Grade Unfinished Area 2,Close Price 2,Price Diff,Below Grade Unfinished Area Diff,Price Change PSF
1,3234843,815.0,516500.0,3523029,308.0,530000.0,13500.0,1014.0,13.0
2,9789804,0.0,477000.0,3505430,0.0,476500.0,500.0,0.0,0
3,7241934,0.0,495900.0,1827159,0.0,535000.0,39100.0,0.0,0
4,7279403,0.0,580000.0,6385485,0.0,440000.0,140000.0,0.0,0
5,8308659,151.0,460000.0,9032924,168.0,532000.0,72000.0,51.0,1412.0
6,8966609,0.0,400000.0,9007173,0.0,505000.0,105000.0,0.0,0
7,3929459,0.0,505000.0,2858719,50.0,565000.0,60000.0,150.0,400.0
8,5123851,0.0,574900.0,8527059,0.0,515000.0,59900.0,0.0,0
9,3513728,476.0,505000.0,2748060,476.0,520000.0,15000.0,0.0,0
10,8383513,170.0,465000.0,5477177,210.0,530000.0,65000.0,120.0,542.0
11,5730705,0.0,480000.0,5193954,0.0,540000.0,60000.0,0.0,0
12,3714339,82.0,455000.0,4737519,85.0,515000.0,60000.0,28.0,2143.0
13,5888410,0.0,525000.0,3803356,0.0,535000.0,10000.0,0.0,0
14,2269467,240.0,475000.0,8014499,240.0,505000.0,30000.0,0.0,0
15,6242331,0.0,550000.0,8469559,0.0,455000.0,95000.0,0.0,0
16,5689489,0.0,478000.0,9695808,0.0,470000.0,8000.0,0.0,0
17,IR957161,43.0,462900.0,8671908,0.0,626000.0,163100.0,129.0,1264.0
18,5960390,43.0,462900.0,4685315,0.0,490000.0,27100.0,104.0,261.0
19,1957981,205.0,450900.0,6175019,180.0,515000.0,64100.0,50.0,1282.0
20,1857476,240.0,450000.0,4428336,201.0,476000.0,26000.0,121.0,215.0
21,6321775,0.0,420000.0,7739537,0.0,545000.0,125000.0,0.0,0
22,8239606,158.0,465000.0,6339702,208.0,461000.0,4000.0,150.0,27.0
23,7531066,50.0,500000.0,3258821,0.0,550000.0,50000.0,114.0,439.0
24,8193556,0.0,605000.0,7339632,0.0,510000.0,95000.0,0.0,0
25,2858375,132.0,459000.0,7327211,132.0,510000.0,51000.0,0.0,0
26,IR956142,0.0,420000.0,3680253,201.0,502000.0,82000.0,414.0,198.0
27,5450957,0.0,520000.0,2564246,0.0,545000.0,25000.0,0.0,0
28,2272846,0.0,465000.0,3210187,0.0,500000.0,35000.0,0.0,0
29,4478531,0.0,515000.0,7398046,0.0,490000.0,25000.0,0.0,0
30,1920110,0.0,475000.0,IR962699,0.0,510000.0,35000.0,0.0,0
