Pair Number,Listing Id 1,Bathrooms Full 1,Close Price 1,Listing Id 2,Bathrooms Full 2,Close Price 2,Price Diff,Bathrooms Full Diff,Price Change PSF
1,3234843,2.0,516500.0,3523029,2.0,530000.0,13500.0,0.0,0
2,9789804,2.0,477000.0,3505430,2.0,476500.0,500.0,0.0,0
3,7241934,3.0,495900.0,1827159,3.0,535000.0,39100.0,0.0,0
4,7279403,3.0,580000.0,6385485,3.0,440000.0,140000.0,0.0,0
5,8308659,2.0,460000.0,9032924,2.0,532000.0,72000.0,0.0,0
6,8966609,2.0,400000.0,9007173,2.0,505000.0,105000.0,0.0,0
7,3929459,2.0,505000.0,2858719,2.0,565000.0,60000.0,0.0,0
8,5123851,3.0,574900.0,8527059,3.0,515000.0,59900.0,0.0,0
9,3513728,2.0,505000.0,2748060,2.0,520000.0,15000.0,0.0,0
10,8383513,2.0,465000.0,5477177,2.0,530000.0,65000.0,0.0,0
11,5730705,2.0,480000.0,5193954,2.0,540000.0,60000.0,0.0,0
12,3714339,2.0,455000.0,4737519,2.0,515000.0,60000.0,0.0,0
13,5888410,2.0,525000.0,3803356,2.0,535000.0,10000.0,0.0,0
14,2269467,2.0,475000.0,8014499,2.0,505000.0,30000.0,0.0,0
15,6242331,2.0,550000.0,8469559,2.0,455000.0,95000.0,0.0,0
16,5689489,2.0,478000.0,9695808,2.0,470000.0,8000.0,0.0,0
17,IR957161,2.0,462900.0,8671908,2.0,626000.0,163100.0,0.0,0
18,5960390,2.0,462900.0,4685315,2.0,490000.0,27100.0,0.0,0
19,1957981,2.0,450900.0,6175019,2.0,515000.0,64100.0,0.0,0
20,1857476,2.0,450000.0,4428336,2.0,476000.0,26000.0,0.0,0
21,6321775,2.0,420000.0,7739537,2.0,545000.0,125000.0,0.0,0
22,8239606,2.0,465000.0,6339702,2.0,461000.0,4000.0,0.0,0
23,7531066,2.0,500000.0,3258821,2.0,550000.0,50000.0,0.0,0
24,8193556,3.0,605000.0,7339632,3.0,510000.0,95000.0,0.0,0
25,2858375,2.0,459000.0,7327211,2.0,510000.0,51000.0,0.0,0
26,IR956142,2.0,420000.0,3680253,2.0,502000.0,82000.0,0.0,0
27,5450957,2.0,520000.0,2564246,2.0,545000.0,25000.0,0.0,0
28,2272846,2.0,465000.0,3210187,2.0,500000.0,35000.0,0.0,0
29,4478531,2.0,515000.0,7398046,2.0,490000.0,25000.0,0.0,0
30,1920110,2.0,475000.0,IR962699,2.0,510000.0,35000.0,0.0,0
31,6604492,2.0,508000.0,7281594,2.0,485000.0,23000.0,0.0,0
32,7621259,3.0,495000.0,9458357,3.0,437000.0,58000.0,0.0,0
33,2554608,2.0,450000.0,3227917,2.0,315000.0,135000.0,0.0,0
34,5568598,2.0,425000.0,IR959771,2.0,463500.0,38500.0,0.0,0
35,IR957498,2.0,475000.0,4924481,2.0,493000.0,18000.0,0.0,0
36,7592535,2.0,497000.0,IR973035,2.0,494000.0,3000.0,0.0,0
37,7372725,2.0,430600.0,7875085,0.0,499900.0,69300.0,2.0,34650.0
38,4400621,3.0,525000.0,9935626,3.0,485000.0,40000.0,0.0,0
39,5743027,2.0,485000.0,4533182,2.0,536000.0,51000.0,0.0,0
40,4128049,2.0,445000.0,9196092,2.0,477500.0,32500.0,0.0,0
41,3614088,2.0,514000.0,2818530,2.0,501000.0,13000.0,0.0,0
42,6582490,2.0,475000.0,1610831,2.0,510000.0,35000.0,0.0,0
43,7785361,2.0,551000.0,2941353,2.0,545000.0,6000.0,0.0,0
44,IR958476,2.0,531000.0,4532874,2.0,465000.0,66000.0,0.0,0
45,2417505,2.0,511000.0,7508552,2.0,372500.0,138500.0,0.0,0
