Pair Number,Listing Id 1,Lot Size Square Feet 1,Close Price 1,Listing Id 2,Lot Size Square Feet 2,Close Price 2,Price Diff,Lot Size Square Feet Diff,Price Change PSF
62,9384816,8405.0,570000.0,3539117,8079.0,499000.0,71000.0,371.0,191.0
63,6628960,5500.0,536000.0,3396448,4725.0,540000.0,4000.0,810.0,5.0
64,3226464,6050.0,530000.0,5545387,3354.0,420000.0,110000.0,2740.0,40.0
65,2480503,7405.2,520000.0,8980826,6440.0,520000.0,0.0,1065.1999999999998,0.0
66,1500848,7100.0,500000.0,2107349,7500.0,412000.0,88000.0,400.0,220.0
67,8236453,11700.0,490000.0,3326415,7670.0,550000.0,60000.0,4094.0,15.0
68,3780610,7875.0,460000.0,6047783,7455.0,490000.0,30000.0,420.0,71.0
69,9332346,9100.0,500000.0,IR973724,7875.0,480000.0,20000.0,1263.0,16.0
70,3837465,7811.0,555000.0,6273108,7425.0,450000.0,105000.0,386.0,272.0
71,3177446,3720.0,451000.0,3375086,3720.0,452000.0,1000.0,0.0,0
72,6894963,7560.0,425000.0,9747735,7200.0,330000.0,95000.0,420.0,226.0
73,3909585,15071.0,489750.0,4813491,7000.0,455000.0,34750.0,8159.0,4.0
74,7406505,7980.0,535000.0,IR972932,8052.0,520000.0,15000.0,919.0,16.0
75,2456427,7738.0,521000.0,6451879,8250.0,470000.0,51000.0,532.0,96.0
76,1505114,7100.0,561000.0,8577349,7560.0,500000.0,61000.0,482.0,127.0
77,3692317,14250.0,461000.0,8796724,8400.0,472500.0,11500.0,5950.0,2.0
78,8971440,3720.0,504000.0,5380905,3720.0,447500.0,56500.0,0.0,0
79,3399550,8400.0,485000.0,9861262,8400.0,479000.0,6000.0,0.0,0
80,3514617,7100.0,495000.0,IR972958,7875.0,460000.0,35000.0,863.0,41.0
81,7479660,7350.0,535000.0,3744427,7875.0,480000.0,55000.0,587.0,94.0
82,3147619,7000.0,500000.0,3716150,7400.0,492000.0,8000.0,404.0,20.0
83,7767747,4356.0,605000.0,IR967840,4725.0,535000.0,70000.0,384.0,182.0
84,4742527,7000.0,538000.0,3150528,7500.0,439000.0,99000.0,500.0,198.0
85,9931895,5662.8,525000.0,4571269,5857.0,495000.0,30000.0,498.1999999999998,60.0
86,6360923,7000.0,490000.0,5329736,7300.0,500000.0,10000.0,312.0,32.0
87,3580806,9147.6,490000.0,9271341,7000.0,450000.0,40000.0,2233.6000000000004,18.0
88,2604145,6969.6,475000.0,4866068,8505.0,432000.0,43000.0,1629.3999999999996,26.0
89,4805403,8276.4,497000.0,4270571,8400.0,500000.0,3000.0,148.60000000000036,20.0
90,9447739,7000.0,450000.0,1518868,7000.0,425000.0,25000.0,0.0,0
91,4835429,8004.0,565000.0,8725802,8858.0,555000.0,10000.0,1330.0,8.0
92,8665499,8250.0,475000.0,6114754,7200.0,475000.0,0.0,1050.0,0.0
93,IR967360,8050.0,460000.0,8127919,7840.8,400000.0,60000.0,503.1999999999998,119.0
94,IR971782,7500.0,489900.0,5257790,7405.0,471500.0,18400.0,95.0,194.0
95,7737757,7000.0,480000.0,1654217,7200.0,425000.0,55000.0,200.0,275.0
