Pair Number,Listing Id 1,Bathrooms Half 1,Close Price 1,Listing Id 2,Bathrooms Half 2,Close Price 2,Price Diff,Bathrooms Half Diff,Price Change PSF
70,3837465,0.0,555000.0,6273108,0.0,450000.0,105000.0,0.0,0
71,3177446,0.0,451000.0,3375086,0.0,452000.0,1000.0,0.0,0
72,6894963,0.0,425000.0,9747735,0.0,330000.0,95000.0,0.0,0
73,3909585,0.0,489750.0,4813491,0.0,455000.0,34750.0,0.0,0
74,7406505,0.0,535000.0,IR972932,0.0,520000.0,15000.0,0.0,0
75,2456427,0.0,521000.0,6451879,0.0,470000.0,51000.0,0.0,0
76,1505114,0.0,561000.0,8577349,0.0,500000.0,61000.0,0.0,0
77,3692317,0.0,461000.0,8796724,0.0,472500.0,11500.0,0.0,0
78,8971440,0.0,504000.0,5380905,0.0,447500.0,56500.0,0.0,0
79,3399550,0.0,485000.0,9861262,0.0,479000.0,6000.0,0.0,0
80,3514617,0.0,495000.0,IR972958,0.0,460000.0,35000.0,0.0,0
81,7479660,0.0,535000.0,3744427,0.0,480000.0,55000.0,0.0,0
82,3147619,0.0,500000.0,3716150,0.0,492000.0,8000.0,0.0,0
83,7767747,0.0,605000.0,IR967840,0.0,535000.0,70000.0,0.0,0
84,4742527,1.0,538000.0,3150528,1.0,439000.0,99000.0,0.0,0
85,9931895,0.0,525000.0,4571269,0.0,495000.0,30000.0,0.0,0
86,6360923,0.0,490000.0,5329736,0.0,500000.0,10000.0,0.0,0
87,3580806,0.0,490000.0,9271341,0.0,450000.0,40000.0,0.0,0
88,2604145,0.0,475000.0,4866068,0.0,432000.0,43000.0,0.0,0
89,4805403,0.0,497000.0,4270571,0.0,500000.0,3000.0,0.0,0
90,9447739,0.0,450000.0,1518868,0.0,425000.0,25000.0,0.0,0
91,4835429,1.0,565000.0,8725802,1.0,555000.0,10000.0,0.0,0
92,8665499,0.0,475000.0,6114754,0.0,475000.0,0.0,0.0,0
93,IR967360,0.0,460000.0,8127919,0.0,400000.0,60000.0,0.0,0
94,IR971782,0.0,489900.0,5257790,0.0,471500.0,18400.0,0.0,0
95,7737757,0.0,480000.0,1654217,0.0,425000.0,55000.0,0.0,0
